    ID,Nombre,Apellido,Contraseña,Clase,Membresía,Entrenador            
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
8Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
7Pedro,Loria,1111,karate,2024-01-15,si
1,Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
6Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30no
3,Pedro,Loria,1111,karate,2024-01-15,si
5Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
4Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
8Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
9Juan,Perez,1234,zumba,2023-12-31,si
2,Maria,Rodrigez,5678,aerobicos,2023-11-30,no
3,Pedro,Loria,1111,karate,2024-01-15,si
7,Juan,Perez,1234,zumba,2023-12-31,si
